OrderID,Date,Customer,Product,Category,Quantity,UnitPrice,Discount,Revenue,City,Country,Salesperson
109946,2024-07-25,franklin wright,  CAMPING TENT  ,Sports & Outdoors,2,266.06,0.2,425.7,los angeles,United States,Elena Petrova
104960,2023-12-18,Jordan Williams,wireless mouse,Electronics,3,27.24,0.0,81.72,Manchester,united kingdom,Farah Haddad
105898,2024-04-10,James Ferrell,Desk Lamp,Furniture,6,38.24,0.0,229.44,Houston,United States,Farah Haddad
109361,2023-01-14,Jeffrey Howell,Desk Lamp,Furniture,9,44.51,0.1,360.53,New York,united states,Alice Carter
107454,2023-01-08,Lori Simmons,Notebook Set,Office Supplies,8,8.21,0.0,65.68,Dubai,United Arab Emirates,  ALICE CARTER  
106192,2024-02-20,Arthur Mcneil,air fryer,Home & Kitchen,7,124.92,0.05,830.72,  MUMBAI  ,India,Alice Carter
107970,2023-12-22,Cristian Santos,Laptop Stand,Office Supplies,4,16.96,0.1,61.06,Berlin,Germany,Brian Nguyen
104199,2024-05-01,Robin Santiago,mechanical keyboard,Electronics,5,95.73,0.2,382.92,New York,United States,Alice Carter
102105,2024-08-13,Steve Sanchez,4K Monitor,Electronics,3,359.26,0.0,1077.78,  MUMBAI  ,India,Ivan Petrov
109188,2023-11-27,  NANCY STEWART  ,  MECHANICAL KEYBOARD  ,Electronics,3,92.2,0.1,248.94,rio de janeiro,Brazil,Farah Haddad
105720,2023-03-23,Shelly Spencer,Winter Jacket,Apparel,10,159.04,0.0,1590.4,Los Angeles,United States,David Kim
108224,2024-11-03,Michael Miller,Yoga Mat,Sports & Outdoors,5,45.45,0.15,193.16,Houston,  UNITED STATES  ,Farah Haddad
103570,2024-11-01,  DEBRA PERRY  ,Standing Desk,Furniture,3,460.12,0.05,1311.34,Munich,Germany,Elena Petrova
106573,2024-05-28,Mary Escobar,Coffee Maker,Home & Kitchen,7,46.95,0.1,295.79,madrid,Spain,Hana Suzuki
105022,2024-12-25,Lee Steele,  MECHANICAL KEYBOARD  ,Electronics,8,75.63,0.2,484.03,Dubai,United Arab Emirates,  BRIAN NGUYEN  
106785,2023-12-12,Jill Anderson,Winter Jacket,Apparel,4,99.87,0.0,399.48,Tokyo,Japan,Elena Petrova
102648,2024-05-27,  MARIA FISHER  ,4K Monitor,Electronics,7,203.47,0.0,1424.29,New York,United States,Hana Suzuki
104920,2024-11-15,Tracy Walker,Cotton T-Shirt,Apparel,6,13.01,0.0,78.06,Dubai,United Arab Emirates,Elena Petrova
